[2026-03-11 01:19:48] === NUEVA SESION INICIADA ===
[2026-03-11 01:23:03] Asset=AIG-OTC | Precio=75.13550 | RSI=46.79 | EMA=75.10699 | SMA=75.14547 | BB_W%=0.6608 | Mood_CALL=0% | Mood_PUT=100% | Score=0.092 | MoodMom=0.001 | MicroMom=0.133 | Diverg=0.000 | MoodBase=-0.999 | Tech=-0.200 | ROC=0.044 | FadeCrowd=0.999 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:23:06] Asset=AIG-OTC | Precio=75.13950 | RSI=47.53 | EMA=75.10589 | SMA=75.12724 | BB_W%=0.6811 | Mood_CALL=0% | Mood_PUT=100% | Score=0.094 | MoodMom=0.001 | MicroMom=0.133 | Diverg=0.000 | MoodBase=-0.999 | Tech=-0.200 | ROC=0.091 | FadeCrowd=0.999 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:23:09] Asset=AIG-OTC | Precio=75.13650 | RSI=47.37 | EMA=75.10560 | SMA=75.12715 | BB_W%=0.6803 | Mood_CALL=0% | Mood_PUT=100% | Score=0.093 | MoodMom=0.000 | MicroMom=0.133 | Diverg=0.000 | MoodBase=-0.999 | Tech=-0.200 | ROC=0.075 | FadeCrowd=0.999 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:23:12] Asset=AIG-OTC | Precio=75.13150 | RSI=47.11 | EMA=75.10513 | SMA=75.12700 | BB_W%=0.6789 | Mood_CALL=0% | Mood_PUT=100% | Score=0.033 | MoodMom=0.002 | MicroMom=-0.133 | Diverg=0.000 | MoodBase=-0.999 | Tech=-0.200 | ROC=0.040 | FadeCrowd=0.998 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:23:15] Asset=AIG-OTC | Precio=75.14350 | RSI=47.76 | EMA=75.10627 | SMA=75.12735 | BB_W%=0.6823 | Mood_CALL=0% | Mood_PUT=100% | Score=0.092 | MoodMom=0.002 | MicroMom=0.133 | Diverg=0.000 | MoodBase=-0.999 | Tech=-0.200 | ROC=0.053 | FadeCrowd=0.998 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:23:18] Asset=AIG-OTC | Precio=75.15450 | RSI=48.36 | EMA=75.10732 | SMA=75.12768 | BB_W%=0.6855 | Mood_CALL=0% | Mood_PUT=100% | Score=0.156 | MoodMom=0.002 | MicroMom=0.400 | Diverg=0.000 | MoodBase=-0.999 | Tech=-0.200 | ROC=0.150 | FadeCrowd=0.998 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:23:22] Asset=AIG-OTC | Precio=75.16450 | RSI=48.89 | EMA=75.10827 | SMA=75.12797 | BB_W%=0.6887 | Mood_CALL=0% | Mood_PUT=100% | Score=0.154 | MoodMom=0.011 | MicroMom=0.400 | Diverg=0.000 | MoodBase=-0.995 | Tech=-0.200 | ROC=0.109 | FadeCrowd=0.992 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:23:24] Asset=AIG-OTC | Precio=75.18250 | RSI=49.83 | EMA=75.10999 | SMA=75.12850 | BB_W%=0.6949 | Mood_CALL=0% | Mood_PUT=100% | Score=0.153 | MoodMom=0.011 | MicroMom=0.400 | Diverg=0.000 | MoodBase=-0.995 | Tech=-0.200 | ROC=0.077 | FadeCrowd=0.992 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:23:27] Asset=AIG-OTC | Precio=75.17550 | RSI=49.47 | EMA=75.10932 | SMA=75.12829 | BB_W%=0.6924 | Mood_CALL=0% | Mood_PUT=100% | Score=0.151 | MoodMom=0.011 | MicroMom=0.400 | Diverg=0.000 | MoodBase=-0.995 | Tech=-0.200 | ROC=0.055 | FadeCrowd=0.992 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:23:30] Asset=AIG-OTC | Precio=75.11450 | RSI=46.27 | EMA=75.10351 | SMA=75.12650 | BB_W%=0.6747 | Mood_CALL=0% | Mood_PUT=100% | Score=0.145 | MoodMom=0.000 | MicroMom=0.400 | Diverg=0.000 | MoodBase=-0.995 | Tech=-0.200 | ROC=-0.039 | FadeCrowd=0.992 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:23:34] Asset=AIG-OTC | Precio=75.07750 | RSI=44.55 | EMA=75.09999 | SMA=75.12541 | BB_W%=0.6673 | Mood_CALL=50% | Mood_PUT=50% | Score=0.317 | MoodMom=1.000 | MicroMom=0.400 | Diverg=0.700 | MoodBase=0.000 | Tech=-0.200 | ROC=-0.144 | FadeCrowd=0.000 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:23:37] Asset=AIG-OTC | Precio=75.05550 | RSI=43.58 | EMA=75.09789 | SMA=75.12476 | BB_W%=0.6643 | Mood_CALL=50% | Mood_PUT=50% | Score=0.258 | MoodMom=1.000 | MicroMom=0.133 | Diverg=0.700 | MoodBase=0.000 | Tech=-0.200 | ROC=-0.144 | FadeCrowd=0.000 | Decision=HOLD | Filtros=[NONE]
